"osm_id","latitude","longitude","name","traffic_signals","direction","crossing","source","osm_url"
251105283,12.9612313,77.7476049,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/251105283"
251145689,12.9840247,77.6402869,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/251145689"
251146209,12.9666398,77.6203284,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/251146209"
251361750,12.9932818,77.5714930,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/251361750"
251361754,13.0084297,77.5711436,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/251361754"
251361762,13.0170551,77.5605477,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/251361762"
253179978,12.9857661,77.6449358,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/253179978"
253179984,12.9784796,77.6465988,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/253179984"
253179993,12.9688448,77.6476289,"","","forward","","OpenStreetMap","https://www.openstreetmap.org/node/253179993"
253518979,12.9670177,77.6615244,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/253518979"
253521393,12.9783441,77.6410411,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/253521393"
253521398,12.9781423,77.6366403,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/253521398"
253521405,12.9783815,77.6286205,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/253521405"
254665635,12.9860822,77.5894728,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/254665635"
254665681,12.9807434,77.6029061,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/254665681"
254665683,12.9804068,77.6038622,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/254665683"
255558038,12.9730613,77.6469104,"Thippasandra Cross","","","","OpenStreetMap","https://www.openstreetmap.org/node/255558038"
260729391,12.9373044,77.6270752,"Sony World Signal","signal","forward","","OpenStreetMap","https://www.openstreetmap.org/node/260729391"
260908338,12.9109800,77.6837863,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/260908338"
263155275,12.9684482,77.6061032,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/263155275"
264191074,12.8697535,77.6533581,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/264191074"
266865270,12.8890463,77.6398958,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/266865270"
278163345,13.0817755,77.5931229,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/278163345"
278163350,13.0822706,77.5931329,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/278163350"
286679410,12.9668490,77.5875317,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/286679410"
286679427,12.9668279,77.5875646,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/286679427"
286679458,12.9677579,77.5874378,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/286679458"
286681113,12.9785476,77.5425316,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/286681113"
286681888,12.9810486,77.5746382,"","","backward","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/286681888"
286965860,12.9778871,77.5909529,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/286965860"
287793968,12.9681517,77.5873435,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/287793968"
